,datum,sat,stanica,smjer vjetra,brzina vjetra (m/s),pritisak (hPa),temp.(°C),rel.vlažnost (%),kol.padavina (mm)
14,14.11.2020.,12:00,Sarajevo,NNW,0.8,950.4,5.1,87,
14,14.11.2020.,12:00,Sarajevo,NNW,0.8,950.4,5.1,87,
14,14.11.2020.,12:00,Sarajevo,NNW,0.8,950.4,5.1,87,
14,14.11.2020.,12:00,Sarajevo,NNW,0.8,950.4,5.1,87,
14,14.11.2020.,13:00,Sarajevo,WSW,0.8,949.7,5.7,85,
14,14.11.2020.,13:00,Sarajevo,WSW,0.8,949.7,5.7,85,
14,14.11.2020.,18:00,Sarajevo,ESE,0.8,949.5,4.6,94,
14,14.11.2020.,18:00,Sarajevo,ESE,0.8,949.5,4.6,94,
14,14.11.2020.,18:00,Sarajevo,ESE,0.8,949.5,4.6,94,
14,15.11.2020.,09:00,Sarajevo,WSW,0.6,948.6,4.7,91,
14,15.11.2020.,10:00,Sarajevo,WSW,0.7,948.4,4.8,92,
14,15.11.2020.,10:00,Sarajevo,WSW,0.7,948.4,4.8,92,
14,15.11.2020.,10:00,Sarajevo,WSW,0.7,948.4,4.8,92,
14,15.11.2020.,10:00,Sarajevo,WSW,0.7,948.4,4.8,92,
14,15.11.2020.,11:00,Sarajevo,SW,0.9,948.0,6.0,87,
14,16.11.2020.,07:00,Sarajevo,ESE,2.6,944.1,6.6,86,
14,16.11.2020.,07:00,Sarajevo,ESE,2.6,944.1,6.6,86,
14,16.11.2020.,08:00,Sarajevo,ESE,3.4,944.5,7.3,82,
14,16.11.2020.,08:00,Sarajevo,ESE,3.4,944.5,7.3,82,
14,16.11.2020.,08:00,Sarajevo,ESE,3.4,944.5,7.3,82,
14,16.11.2020.,08:00,Sarajevo,ESE,3.4,944.5,7.3,82,
14,16.11.2020.,09:00,Sarajevo,SE,1.8,944.6,8.2,80,
14,16.11.2020.,09:00,Sarajevo,SE,1.8,944.6,8.2,80,
14,16.11.2020.,09:00,Sarajevo,SE,1.8,944.6,8.2,80,
14,16.11.2020.,09:00,Sarajevo,SE,1.8,944.6,8.2,80,
14,16.11.2020.,10:00,Sarajevo,ESE,1.5,944.0,10.0,75,
14,16.11.2020.,10:00,Sarajevo,ESE,1.5,944.0,10.0,75,
14,16.11.2020.,10:00,Sarajevo,ESE,1.5,944.0,10.0,75,
14,16.11.2020.,10:00,Sarajevo,ESE,1.5,944.0,10.0,75,
14,16.11.2020.,11:00,Sarajevo,ESE,1.7,943.3,13.6,64,
14,16.11.2020.,11:00,Sarajevo,ESE,1.7,943.3,13.6,64,
14,16.11.2020.,11:00,Sarajevo,ESE,1.7,943.3,13.6,64,
14,16.11.2020.,11:00,Sarajevo,ESE,1.7,943.3,13.6,64,
14,16.11.2020.,12:00,Sarajevo,WSW,0.8,942.7,14.8,58,
14,16.11.2020.,12:00,Sarajevo,WSW,0.8,942.7,14.8,58,
14,16.11.2020.,12:00,Sarajevo,WSW,0.8,942.7,14.8,58,
14,16.11.2020.,12:00,Sarajevo,WSW,0.8,942.7,14.8,58,
14,16.11.2020.,13:00,Sarajevo,SSW,0.7,942.4,14.4,60,
14,16.11.2020.,13:00,Sarajevo,SSW,0.7,942.4,14.4,60,
14,16.11.2020.,13:00,Sarajevo,SSW,0.7,942.4,14.4,60,
14,16.11.2020.,13:00,Sarajevo,SSW,0.7,942.4,14.4,60,
14,16.11.2020.,14:00,Sarajevo,SSE,0.6,942.0,15.2,56,
14,16.11.2020.,14:00,Sarajevo,SSE,0.6,942.0,15.2,56,
14,16.11.2020.,14:00,Sarajevo,SSE,0.6,942.0,15.2,56,
14,16.11.2020.,14:00,Sarajevo,SSE,0.6,942.0,15.2,56,
14,16.11.2020.,18:00,Sarajevo,WNW,1.0,942.7,12.2,69,
14,16.11.2020.,18:00,Sarajevo,WNW,1.0,942.7,12.2,69,
14,16.11.2020.,19:00,Sarajevo,ENE,1.2,942.9,11.3,75,0.1
14,16.11.2020.,19:00,Sarajevo,ENE,1.2,942.9,11.3,75,0.1
14,16.11.2020.,19:00,Sarajevo,ENE,1.2,942.9,11.3,75,0.1
14,16.11.2020.,19:00,Sarajevo,ENE,1.2,942.9,11.3,75,0.1
14,16.11.2020.,20:00,Sarajevo,E,1.0,943.2,10.9,81,0.2
14,16.11.2020.,20:00,Sarajevo,E,1.0,943.2,10.9,81,0.2
14,16.11.2020.,20:00,Sarajevo,E,1.0,943.2,10.9,81,0.2
14,,07:00,Sarajevo,WNW,0.6,948.3,6.1,99,0.6
14,,07:00,Sarajevo,WNW,0.6,948.3,6.1,99,0.6
14,,08:00,Sarajevo,NW,1.1,949.3,6.0,99,0.4
14,,08:00,Sarajevo,NW,1.1,949.3,6.0,99,0.4
14,,08:00,Sarajevo,NW,1.1,949.3,6.0,99,0.4
14,,08:00,Sarajevo,NW,1.1,949.3,6.0,99,0.4
14,,09:00,Sarajevo,WNW,1.7,950.2,6.0,100,0.2
14,,09:00,Sarajevo,WNW,1.7,950.2,6.0,100,0.2
14,,09:00,Sarajevo,WNW,1.7,950.2,6.0,100,0.2
14,,09:00,Sarajevo,WNW,1.7,950.2,6.0,100,0.2
14,,10:00,Sarajevo,WNW,1.4,950.6,6.2,99,0.4
14,,10:00,Sarajevo,WNW,1.4,950.6,6.2,99,0.4
14,,10:00,Sarajevo,WNW,1.4,950.6,6.2,99,0.4
14,,10:00,Sarajevo,WNW,1.4,950.6,6.2,99,0.4
14,,11:00,Sarajevo,WNW,1.3,951.1,6.2,97,
14,,11:00,Sarajevo,WNW,1.3,951.1,6.2,97,
14,,11:00,Sarajevo,WNW,1.3,951.1,6.2,97,
14,,11:00,Sarajevo,WNW,1.3,951.1,6.2,97,
14,,12:00,Sarajevo,W,1.1,951.2,6.2,93,
14,,12:00,Sarajevo,W,1.1,951.2,6.2,93,
14,,12:00,Sarajevo,W,1.1,951.2,6.2,93,
14,,12:00,Sarajevo,W,1.1,951.2,6.2,93,
14,,13:00,Sarajevo,W,1.0,951.3,6.4,91,
14,,13:00,Sarajevo,W,1.0,951.3,6.4,91,
14,,13:00,Sarajevo,W,1.0,951.3,6.4,91,
14,,13:00,Sarajevo,W,1.0,951.3,6.4,91,
14,,14:00,Sarajevo,WNW,1.2,951.3,6.4,91,
14,,14:00,Sarajevo,WNW,1.2,951.3,6.4,91,
14,,14:00,Sarajevo,WNW,1.2,951.3,6.4,91,
14,,14:00,Sarajevo,WNW,1.2,951.3,6.4,91,
14,,15:00,Sarajevo,W,0.7,951.7,6.3,93,
14,,15:00,Sarajevo,W,0.7,951.7,6.3,93,
14,,15:00,Sarajevo,W,0.7,951.7,6.3,93,
14,,15:00,Sarajevo,W,0.7,951.7,6.3,93,
14,,16:00,Sarajevo,W,0.4,952.4,6.3,95,0.2
14,,08:00,Sarajevo,NW,1.0,955.0,6.2,98,
14,,08:00,Sarajevo,NW,1.0,955.0,6.2,98,
14,,08:00,Sarajevo,NW,1.0,955.0,6.2,98,
14,18.11.2020.,09:00,Sarajevo,NW,0.5,955.0,6.8,96,
14,18.11.2020.,09:00,Sarajevo,NW,0.5,955.0,6.8,96,
14,18.11.2020.,09:00,Sarajevo,NW,0.5,955.0,6.8,96,
14,18.11.2020.,11:00,Sarajevo,ESE,0.7,954.4,8.4,79,
14,18.11.2020.,11:00,Sarajevo,ESE,0.7,954.4,8.4,79,
14,18.11.2020.,12:00,Sarajevo,ESE,1.8,953.8,9.4,70,
14,18.11.2020.,12:00,Sarajevo,ESE,1.8,953.8,9.4,70,
14,18.11.2020.,12:00,Sarajevo,ESE,1.8,953.8,9.4,70,
14,18.11.2020.,12:00,Sarajevo,ESE,1.8,953.8,9.4,70,
14,18.11.2020.,13:00,Sarajevo,SE,1.8,953.5,9.7,69,
14,18.11.2020.,13:00,Sarajevo,SE,1.8,953.5,9.7,69,
14,18.11.2020.,13:00,Sarajevo,SE,1.8,953.5,9.7,69,
14,18.11.2020.,13:00,Sarajevo,SE,1.8,953.5,9.7,69,
14,18.11.2020.,19:00,Sarajevo,ESE,2.1,953.5,5.1,84,
14,18.11.2020.,19:00,Sarajevo,ESE,2.1,953.5,5.1,84,
14,18.11.2020.,19:00,Sarajevo,ESE,2.1,953.5,5.1,84,
14,18.11.2020.,19:00,Sarajevo,ESE,2.1,953.5,5.1,84,
14,18.11.2020.,20:00,Sarajevo,ESE,2.1,953.3,5.2,85,
14,19.11.2020.,07:00,Sarajevo,SSE,0.4,950.6,0.8,99,
14,19.11.2020.,08:00,Sarajevo,SE,0.3,950.4,2.0,99,
14,19.11.2020.,08:00,Sarajevo,SE,0.3,950.4,2.0,99,
14,19.11.2020.,08:00,Sarajevo,SE,0.3,950.4,2.0,99,
14,19.11.2020.,08:00,Sarajevo,SE,0.3,950.4,2.0,99,
14,19.11.2020.,09:00,Sarajevo,WSW,0.6,950.1,2.5,95,
14,19.11.2020.,09:00,Sarajevo,WSW,0.6,950.1,2.5,95,
14,19.11.2020.,09:00,Sarajevo,WSW,0.6,950.1,2.5,95,
14,19.11.2020.,09:00,Sarajevo,WSW,0.6,950.1,2.5,95,
14,19.11.2020.,10:00,Sarajevo,S,0.6,949.7,2.5,95,
14,19.11.2020.,10:00,Sarajevo,S,0.6,949.7,2.5,95,
14,19.11.2020.,10:00,Sarajevo,S,0.6,949.7,2.5,95,
14,19.11.2020.,10:00,Sarajevo,S,0.6,949.7,2.5,95,
14,19.11.2020.,11:00,Sarajevo,W,0.8,949.1,3.4,92,
14,19.11.2020.,16:00,Sarajevo,NW,0.5,945.6,5.1,87,
14,19.11.2020.,16:00,Sarajevo,NW,0.5,945.6,5.1,87,
14,19.11.2020.,16:00,Sarajevo,NW,0.5,945.6,5.1,87,
14,19.11.2020.,16:00,Sarajevo,NW,0.5,945.6,5.1,87,
14,19.11.2020.,17:00,Sarajevo,ESE,0.7,945.3,3.5,90,
14,19.11.2020.,17:00,Sarajevo,ESE,0.7,945.3,3.5,90,
14,19.11.2020.,17:00,Sarajevo,ESE,0.7,945.3,3.5,90,
14,19.11.2020.,17:00,Sarajevo,ESE,0.7,945.3,3.5,90,
14,19.11.2020.,18:00,Sarajevo,S,0.4,945.2,2.7,94,
14,19.11.2020.,18:00,Sarajevo,S,0.4,945.2,2.7,94,
14,19.11.2020.,18:00,Sarajevo,S,0.4,945.2,2.7,94,
14,20.11.2020.,07:00,Sarajevo,E,0.7,945.5,2.4,100,0.3
14,20.11.2020.,08:00,Sarajevo,ENE,0.4,946.0,2.7,100,0.3
14,20.11.2020.,08:00,Sarajevo,ENE,0.4,946.0,2.7,100,0.3
14,20.11.2020.,08:00,Sarajevo,ENE,0.4,946.0,2.7,100,0.3
14,20.11.2020.,08:00,Sarajevo,ENE,0.4,946.0,2.7,100,0.3
14,20.11.2020.,14:00,Sarajevo,WNW,1.0,945.2,4.6,98,0.1
14,20.11.2020.,14:00,Sarajevo,WNW,1.0,945.2,4.6,98,0.1
14,20.11.2020.,14:00,Sarajevo,WNW,1.0,945.2,4.6,98,0.1
14,20.11.2020.,15:00,Sarajevo,WNW,1.5,945.5,4.5,98,0.3
14,20.11.2020.,15:00,Sarajevo,WNW,1.5,945.5,4.5,98,0.3
14,20.11.2020.,15:00,Sarajevo,WNW,1.5,945.5,4.5,98,0.3
14,20.11.2020.,15:00,Sarajevo,WNW,1.5,945.5,4.5,98,0.3
14,20.11.2020.,16:00,Sarajevo,WNW,1.2,945.7,4.4,96,0.4
14,20.11.2020.,16:00,Sarajevo,WNW,1.2,945.7,4.4,96,0.4
14,20.11.2020.,16:00,Sarajevo,WNW,1.2,945.7,4.4,96,0.4
14,20.11.2020.,16:00,Sarajevo,WNW,1.2,945.7,4.4,96,0.4
14,20.11.2020.,17:00,Sarajevo,NW,1.1,946.0,4.3,95,
14,20.11.2020.,17:00,Sarajevo,NW,1.1,946.0,4.3,95,
14,20.11.2020.,17:00,Sarajevo,NW,1.1,946.0,4.3,95,
14,20.11.2020.,17:00,Sarajevo,NW,1.1,946.0,4.3,95,
14,20.11.2020.,18:00,Sarajevo,NW,1.2,946.5,4.2,96,
14,20.11.2020.,18:00,Sarajevo,NW,1.2,946.5,4.2,96,
14,23.11.2020.,07:00,Sarajevo,SE,1.0,952.0,-1.9,93,
14,23.11.2020.,08:00,Sarajevo,SW,0.6,952.0,-0.6,94,
14,23.11.2020.,08:00,Sarajevo,SW,0.6,952.0,-0.6,94,
14,23.11.2020.,08:00,Sarajevo,SW,0.6,952.0,-0.6,94,
14,23.11.2020.,08:00,Sarajevo,SW,0.6,952.0,-0.6,94,
14,23.11.2020.,09:00,Sarajevo,S,1.0,951.6,2.0,77,
14,23.11.2020.,09:00,Sarajevo,S,1.0,951.6,2.0,77,
14,23.11.2020.,09:00,Sarajevo,S,1.0,951.6,2.0,77,
14,23.11.2020.,09:00,Sarajevo,S,1.0,951.6,2.0,77,
14,23.11.2020.,10:00,Sarajevo,WSW,0.9,951.2,3.1,75,
14,23.11.2020.,10:00,Sarajevo,WSW,0.9,951.2,3.1,75,
14,23.11.2020.,10:00,Sarajevo,WSW,0.9,951.2,3.1,75,
14,23.11.2020.,10:00,Sarajevo,WSW,0.9,951.2,3.1,75,
14,23.11.2020.,11:00,Sarajevo,W,1.0,950.4,5.6,68,
14,23.11.2020.,11:00,Sarajevo,W,1.0,950.4,5.6,68,
14,23.11.2020.,11:00,Sarajevo,W,1.0,950.4,5.6,68,
14,23.11.2020.,11:00,Sarajevo,W,1.0,950.4,5.6,68,
14,23.11.2020.,12:00,Sarajevo,WSW,1.1,949.5,8.6,58,
14,23.11.2020.,12:00,Sarajevo,WSW,1.1,949.5,8.6,58,
14,23.11.2020.,12:00,Sarajevo,WSW,1.1,949.5,8.6,58,
14,23.11.2020.,12:00,Sarajevo,WSW,1.1,949.5,8.6,58,
14,23.11.2020.,13:00,Sarajevo,WSW,1.1,949.2,8.3,60,
14,23.11.2020.,13:00,Sarajevo,WSW,1.1,949.2,8.3,60,
14,23.11.2020.,13:00,Sarajevo,WSW,1.1,949.2,8.3,60,
14,23.11.2020.,13:00,Sarajevo,WSW,1.1,949.2,8.3,60,
14,23.11.2020.,14:00,Sarajevo,W,1.1,949.0,9.8,58,
14,23.11.2020.,14:00,Sarajevo,W,1.1,949.0,9.8,58,
14,23.11.2020.,14:00,Sarajevo,W,1.1,949.0,9.8,58,
14,23.11.2020.,14:00,Sarajevo,W,1.1,949.0,9.8,58,
14,23.11.2020.,15:00,Sarajevo,NNW,2.5,949.7,7.1,67,
14,23.11.2020.,15:00,Sarajevo,NNW,2.5,949.7,7.1,67,
14,24.11.2020.,07:00,Sarajevo,WSW,0.6,953.3,2.8,91,
14,26.11.2020.,07:00,Sarajevo,ESE,0.3,950.1,-4.6,92,
14,26.11.2020.,08:00,Sarajevo,SSE,0.4,950.3,-2.8,94,
14,26.11.2020.,08:00,Sarajevo,SSE,0.4,950.3,-2.8,94,
14,26.11.2020.,08:00,Sarajevo,SSE,0.4,950.3,-2.8,94,
14,26.11.2020.,08:00,Sarajevo,SSE,0.4,950.3,-2.8,94,
14,26.11.2020.,09:00,Sarajevo,WSW,0.7,950.2,-2.0,90,
14,26.11.2020.,09:00,Sarajevo,WSW,0.7,950.2,-2.0,90,
14,26.11.2020.,09:00,Sarajevo,WSW,0.7,950.2,-2.0,90,
14,26.11.2020.,09:00,Sarajevo,WSW,0.7,950.2,-2.0,90,
14,26.11.2020.,10:00,Sarajevo,WSW,0.8,950.1,0.7,76,
14,26.11.2020.,10:00,Sarajevo,WSW,0.8,950.1,0.7,76,
14,26.11.2020.,10:00,Sarajevo,WSW,0.8,950.1,0.7,76,
14,26.11.2020.,10:00,Sarajevo,WSW,0.8,950.1,0.7,76,
14,26.11.2020.,11:00,Sarajevo,SW,1.0,949.4,1.4,74,
14,26.11.2020.,11:00,Sarajevo,SW,1.0,949.4,1.4,74,
14,26.11.2020.,11:00,Sarajevo,SW,1.0,949.4,1.4,74,
14,26.11.2020.,11:00,Sarajevo,SW,1.0,949.4,1.4,74,
14,26.11.2020.,12:00,Sarajevo,WSW,1.0,948.5,3.7,65,
14,26.11.2020.,12:00,Sarajevo,WSW,1.0,948.5,3.7,65,
14,26.11.2020.,12:00,Sarajevo,WSW,1.0,948.5,3.7,65,
14,26.11.2020.,12:00,Sarajevo,WSW,1.0,948.5,3.7,65,
14,26.11.2020.,13:00,Sarajevo,WSW,0.9,947.8,4.5,61,
14,26.11.2020.,13:00,Sarajevo,WSW,0.9,947.8,4.5,61,
14,26.11.2020.,13:00,Sarajevo,WSW,0.9,947.8,4.5,61,
14,26.11.2020.,13:00,Sarajevo,WSW,0.9,947.8,4.5,61,
14,26.11.2020.,14:00,Sarajevo,WSW,0.8,947.0,6.5,53,
14,26.11.2020.,14:00,Sarajevo,WSW,0.8,947.0,6.5,53,
14,26.11.2020.,14:00,Sarajevo,WSW,0.8,947.0,6.5,53,
14,26.11.2020.,14:00,Sarajevo,WSW,0.8,947.0,6.5,53,
14,26.11.2020.,15:00,Sarajevo,WSW,0.7,946.7,6.6,55,
14,,08:00,Sarajevo,WSW,0.4,948.0,-4.7,95,
14,,09:00,Sarajevo,SSE,0.5,947.9,-3.9,96,
14,,09:00,Sarajevo,SSE,0.5,947.9,-3.9,96,
14,,09:00,Sarajevo,SSE,0.5,947.9,-3.9,96,
14,,09:00,Sarajevo,SSE,0.5,947.9,-3.9,96,
14,,10:00,Sarajevo,S,0.5,947.8,-2.4,96,
14,,10:00,Sarajevo,S,0.5,947.8,-2.4,96,
14,,10:00,Sarajevo,S,0.5,947.8,-2.4,96,
14,,10:00,Sarajevo,S,0.5,947.8,-2.4,96,
14,,11:00,Sarajevo,SSW,0.7,947.0,0.0,87,
14,,11:00,Sarajevo,SSW,0.7,947.0,0.0,87,
14,,11:00,Sarajevo,SSW,0.7,947.0,0.0,87,
14,,11:00,Sarajevo,SSW,0.7,947.0,0.0,87,
14,,12:00,Sarajevo,WSW,0.9,946.3,2.5,69,
14,,12:00,Sarajevo,WSW,0.9,946.3,2.5,69,
14,,12:00,Sarajevo,WSW,0.9,946.3,2.5,69,
14,,12:00,Sarajevo,WSW,0.9,946.3,2.5,69,
14,27.11.2020.,13:00,Sarajevo,SW,1.0,945.8,3.6,64,
14,27.11.2020.,13:00,Sarajevo,SW,1.0,945.8,3.6,64,
14,27.11.2020.,13:00,Sarajevo,SW,1.0,945.8,3.6,64,
14,27.11.2020.,13:00,Sarajevo,SW,1.0,945.8,3.6,64,
14,27.11.2020.,14:00,Sarajevo,SW,0.9,945.4,5.0,61,
14,27.11.2020.,14:00,Sarajevo,SW,0.9,945.4,5.0,61,
14,27.11.2020.,14:00,Sarajevo,SW,0.9,945.4,5.0,61,
14,27.11.2020.,14:00,Sarajevo,SW,0.9,945.4,5.0,61,
14,,15:00,Sarajevo,SW,0.7,945.4,5.0,62,
14,27.11.2020.,16:00,Sarajevo,SE,0.4,945.5,3.9,66,
14,27.11.2020.,16:00,Sarajevo,SE,0.4,945.5,3.9,66,
14,27.11.2020.,16:00,Sarajevo,SE,0.4,945.5,3.9,66,
14,27.11.2020.,17:00,Sarajevo,SW,0.3,945.9,2.0,69,
14,27.11.2020.,17:00,Sarajevo,SW,0.3,945.9,2.0,69,
14,27.11.2020.,19:00,Sarajevo,ESE,0.7,946.3,0.2,75,
14,27.11.2020.,19:00,Sarajevo,ESE,0.7,946.3,0.2,75,
14,27.11.2020.,19:00,Sarajevo,ESE,0.7,946.3,0.2,75,
14,27.11.2020.,19:00,Sarajevo,ESE,0.7,946.3,0.2,75,
14,27.11.2020.,20:00,Sarajevo,ESE,1.0,946.6,-0.4,76,
14,27.11.2020.,20:00,Sarajevo,ESE,1.0,946.6,-0.4,76,
14,27.11.2020.,20:00,Sarajevo,ESE,1.0,946.6,-0.4,76,
14,27.11.2020.,20:00,Sarajevo,ESE,1.0,946.6,-0.4,76,
14,27.11.2020.,21:00,Sarajevo,SE,1.4,946.8,-0.9,78,
14,27.11.2020.,21:00,Sarajevo,SE,1.4,946.8,-0.9,78,
14,27.11.2020.,21:00,Sarajevo,SE,1.4,946.8,-0.9,78,
14,27.11.2020.,21:00,Sarajevo,SE,1.4,946.8,-0.9,78,
14,27.11.2020.,22:00,Sarajevo,ESE,1.7,946.5,-0.9,75,
14,27.11.2020.,22:00,Sarajevo,ESE,1.7,946.5,-0.9,75,
14,28.11.2020.,07:00,Sarajevo,ENE,0.6,945.5,-4.5,89,
14,28.11.2020.,07:00,Sarajevo,ENE,0.6,945.5,-4.5,89,
14,28.11.2020.,08:00,Sarajevo,ESE,0.6,945.6,-2.6,90,
14,29.11.2020.,18:00,Sarajevo,SW,0.8,944.3,1.1,83,
14,30.11.2020.,07:00,Sarajevo,ESE,2.7,948.3,-1.5,72,
14,30.11.2020.,08:00,Sarajevo,SE,1.8,948.8,-1.3,69,
14,30.11.2020.,08:00,Sarajevo,SE,1.8,948.8,-1.3,69,
14,30.11.2020.,08:00,Sarajevo,SE,1.8,948.8,-1.3,69,
14,30.11.2020.,08:00,Sarajevo,SE,1.8,948.8,-1.3,69,
14,30.11.2020.,09:00,Sarajevo,ESE,1.3,949.2,-0.9,67,
14,30.11.2020.,09:00,Sarajevo,ESE,1.3,949.2,-0.9,67,
14,30.11.2020.,09:00,Sarajevo,ESE,1.3,949.2,-0.9,67,
14,30.11.2020.,09:00,Sarajevo,ESE,1.3,949.2,-0.9,67,
14,30.11.2020.,10:00,Sarajevo,ESE,1.5,949.6,-0.6,68,
14,30.11.2020.,10:00,Sarajevo,ESE,1.5,949.6,-0.6,68,
14,30.11.2020.,10:00,Sarajevo,ESE,1.5,949.6,-0.6,68,
14,30.11.2020.,10:00,Sarajevo,ESE,1.5,949.6,-0.6,68,
14,30.11.2020.,11:00,Sarajevo,ESE,2.4,949.6,-0.1,67,
14,30.11.2020.,11:00,Sarajevo,ESE,2.4,949.6,-0.1,67,
14,30.11.2020.,11:00,Sarajevo,ESE,2.4,949.6,-0.1,67,
14,30.11.2020.,11:00,Sarajevo,ESE,2.4,949.6,-0.1,67,
14,30.11.2020.,12:00,Sarajevo,E,1.6,949.3,0.4,64,
14,30.11.2020.,12:00,Sarajevo,E,1.6,949.3,0.4,64,
14,30.11.2020.,12:00,Sarajevo,E,1.6,949.3,0.4,64,
14,30.11.2020.,12:00,Sarajevo,E,1.6,949.3,0.4,64,
14,30.11.2020.,13:00,Sarajevo,E,1.1,949.0,0.9,61,
14,30.11.2020.,13:00,Sarajevo,E,1.1,949.0,0.9,61,
14,30.11.2020.,13:00,Sarajevo,E,1.1,949.0,0.9,61,
14,30.11.2020.,13:00,Sarajevo,E,1.1,949.0,0.9,61,
14,30.11.2020.,14:00,Sarajevo,SW,0.7,948.6,0.8,63,
14,30.11.2020.,14:00,Sarajevo,SW,0.7,948.6,0.8,63,
14,30.11.2020.,14:00,Sarajevo,SW,0.7,948.6,0.8,63,
14,30.11.2020.,14:00,Sarajevo,SW,0.7,948.6,0.8,63,
14,30.11.2020.,15:00,Sarajevo,SW,1.1,949.0,0.5,66,
14,30.11.2020.,15:00,Sarajevo,SW,1.1,949.0,0.5,66,
14,01.12.2020.,07:00,Sarajevo,ESE,3.4,944.4,-4.4,76,
14,01.12.2020.,08:00,Sarajevo,SW,1.1,944.4,-4.1,80,
14,01.12.2020.,08:00,Sarajevo,SW,1.1,944.4,-4.1,80,
14,01.12.2020.,08:00,Sarajevo,SW,1.1,944.4,-4.1,80,
14,01.12.2020.,08:00,Sarajevo,SW,1.1,944.4,-4.1,80,
14,01.12.2020.,09:00,Sarajevo,SW,0.8,944.2,-1.4,65,
14,01.12.2020.,09:00,Sarajevo,SW,0.8,944.2,-1.4,65,
14,01.12.2020.,09:00,Sarajevo,SW,0.8,944.2,-1.4,65,
14,01.12.2020.,09:00,Sarajevo,SW,0.8,944.2,-1.4,65,
14,01.12.2020.,10:00,Sarajevo,WSW,1.0,943.7,-0.4,61,
14,01.12.2020.,10:00,Sarajevo,WSW,1.0,943.7,-0.4,61,
14,01.12.2020.,10:00,Sarajevo,WSW,1.0,943.7,-0.4,61,
14,01.12.2020.,10:00,Sarajevo,WSW,1.0,943.7,-0.4,61,
14,01.12.2020.,11:00,Sarajevo,W,0.9,942.5,-0.6,61,
14,01.12.2020.,11:00,Sarajevo,W,0.9,942.5,-0.6,61,
14,01.12.2020.,11:00,Sarajevo,W,0.9,942.5,-0.6,61,
14,01.12.2020.,11:00,Sarajevo,W,0.9,942.5,-0.6,61,
14,01.12.2020.,12:00,Sarajevo,WSW,1.0,941.5,0.9,56,
14,01.12.2020.,12:00,Sarajevo,WSW,1.0,941.5,0.9,56,
14,01.12.2020.,12:00,Sarajevo,WSW,1.0,941.5,0.9,56,
14,01.12.2020.,12:00,Sarajevo,WSW,1.0,941.5,0.9,56,
14,01.12.2020.,13:00,Sarajevo,W,1.0,940.7,1.9,54,
14,01.12.2020.,13:00,Sarajevo,W,1.0,940.7,1.9,54,
14,01.12.2020.,13:00,Sarajevo,W,1.0,940.7,1.9,54,
14,01.12.2020.,13:00,Sarajevo,W,1.0,940.7,1.9,54,
14,01.12.2020.,14:00,Sarajevo,SW,0.9,940.1,3.6,50,
14,01.12.2020.,14:00,Sarajevo,SW,0.9,940.1,3.6,50,
14,01.12.2020.,14:00,Sarajevo,SW,0.9,940.1,3.6,50,
14,01.12.2020.,14:00,Sarajevo,SW,0.9,940.1,3.6,50,
14,01.12.2020.,15:00,Sarajevo,WSW,0.9,940.0,4.1,48,
14,01.12.2020.,15:00,Sarajevo,WSW,0.9,940.0,4.1,48,
14,01.12.2020.,19:00,Sarajevo,ESE,0.7,941.1,-2.3,74,
14,01.12.2020.,19:00,Sarajevo,ESE,0.7,941.1,-2.3,74,
14,01.12.2020.,19:00,Sarajevo,ESE,0.7,941.1,-2.3,74,
14,01.12.2020.,20:00,Sarajevo,SSE,0.5,941.6,-3.0,78,
14,02.12.2020.,07:00,Sarajevo,SSE,0.5,942.7,-5.5,84,
14,02.12.2020.,08:00,Sarajevo,NW,0.6,942.6,-5.1,87,
14,02.12.2020.,08:00,Sarajevo,NW,0.6,942.6,-5.1,87,
14,02.12.2020.,08:00,Sarajevo,NW,0.6,942.6,-5.1,87,
14,02.12.2020.,08:00,Sarajevo,NW,0.6,942.6,-5.1,87,
14,02.12.2020.,09:00,Sarajevo,W,0.7,942.6,-4.4,84,
14,02.12.2020.,09:00,Sarajevo,W,0.7,942.6,-4.4,84,
14,02.12.2020.,09:00,Sarajevo,W,0.7,942.6,-4.4,84,
14,02.12.2020.,09:00,Sarajevo,W,0.7,942.6,-4.4,84,
14,02.12.2020.,10:00,Sarajevo,WSW,0.8,942.3,-3.1,78,
14,02.12.2020.,10:00,Sarajevo,WSW,0.8,942.3,-3.1,78,
14,02.12.2020.,10:00,Sarajevo,WSW,0.8,942.3,-3.1,78,
14,02.12.2020.,10:00,Sarajevo,WSW,0.8,942.3,-3.1,78,
14,02.12.2020.,11:00,Sarajevo,WSW,0.7,941.4,-2.1,76,
14,02.12.2020.,11:00,Sarajevo,WSW,0.7,941.4,-2.1,76,
14,02.12.2020.,11:00,Sarajevo,WSW,0.7,941.4,-2.1,76,
14,02.12.2020.,11:00,Sarajevo,WSW,0.7,941.4,-2.1,76,
14,02.12.2020.,12:00,Sarajevo,W,0.9,940.7,-1.5,74,
14,02.12.2020.,12:00,Sarajevo,W,0.9,940.7,-1.5,74,
14,02.12.2020.,12:00,Sarajevo,W,0.9,940.7,-1.5,74,
14,02.12.2020.,12:00,Sarajevo,W,0.9,940.7,-1.5,74,
14,02.12.2020.,13:00,Sarajevo,WSW,0.8,940.0,-1.4,75,
14,02.12.2020.,13:00,Sarajevo,WSW,0.8,940.0,-1.4,75,
14,02.12.2020.,13:00,Sarajevo,WSW,0.8,940.0,-1.4,75,
